Year,Month,TA,UC,T
1853,10,-1.364,1.303,6.316
1853,11,-1.282,0.935,-1.192
1853,12,-0.906,1.150,-7.176
1854,1,-0.115,0.990,-8.415
1854,2,-1.949,1.704,-7.119
1854,3,0.031,0.855,1.391
1854,4,-0.532,1.338,7.588
1854,5,0.299,1.033,13.879
1854,6,-0.334,1.037,17.256
1854,7,0.734,0.988,20.434
1854,8,0.127,1.016,18.917
1854,9,-0.362,1.062,13.958
1854,10,0.072,1.501,7.752
1854,11,-0.527,1.172,-0.437
1854,12,-0.235,1.378,-6.505
1855,1,-0.362,1.352,-8.662
1855,2,0.685,1.367,-4.485
1855,3,-0.200,1.428,1.16
1855,4,0.941,1.539,9.061
1855,5,-0.041,1.077,13.539
1855,6,-0.066,1.113,17.524
1855,7,-0.189,1.032,19.511
1855,8,-0.312,1.050,18.478
1855,9,-0.608,1.062,13.712
1855,10,-1.016,1.273,6.664
1855,11,-1.204,1.136,-1.114
1855,12,-0.471,1.716,-6.741
1856,1,-0.243,1.257,-8.543
1856,2,-1.913,1.338,-7.083
1856,3,-0.345,1.352,1.015
1856,4,-0.422,1.171,7.698
1856,5,-0.755,1.219,12.825
1856,6,0.076,1.392,17.666
1856,7,0.109,1.166,19.809
1856,8,-0.704,1.301,18.086
1856,9,-1.045,1.184,13.275
1856,10,-1.086,1.148,6.594
1856,11,-0.730,1.223,-0.64
1856,12,0.217,1.260,-6.053
1857,1,-0.847,1.234,-9.147
1857,2,-0.314,1.279,-5.484
1857,3,-0.607,1.143,0.753
1857,4,-1.042,1.183,7.078
1857,5,-1.532,1.118,12.048
1857,6,-0.732,1.241,16.858
1857,7,-0.256,1.157,19.444
1857,8,-0.828,1.163,17.962
1857,9,-0.714,1.210,13.606
1857,10,-0.833,1.193,6.847
1857,11,NaN,NaN,#VALUE!
1857,12,NaN,NaN,#VALUE!
1858,1,0.548,1.318,-7.752
1858,2,0.040,1.178,-5.13
1858,3,-0.556,1.159,0.804
1858,4,0.155,1.435,8.275
1858,5,-0.615,1.075,12.965
1858,6,-0.164,1.124,17.426
1858,7,-0.212,1.076,19.488
1858,8,-0.498,1.226,18.292
