Year,Month,TA,UC,T
1819,10,NaN,NaN,#VALUE!
1819,11,NaN,NaN,#VALUE!
1819,12,NaN,NaN,#VALUE!
1820,1,NaN,NaN,#VALUE!
1820,2,NaN,NaN,#VALUE!
1820,3,NaN,NaN,#VALUE!
1820,4,NaN,NaN,#VALUE!
1820,5,NaN,NaN,#VALUE!
1820,6,NaN,NaN,#VALUE!
1820,7,NaN,NaN,#VALUE!
1820,8,NaN,NaN,#VALUE!
1820,9,NaN,NaN,#VALUE!
1820,10,NaN,NaN,#VALUE!
1820,11,NaN,NaN,#VALUE!
1820,12,NaN,NaN,#VALUE!
1821,1,NaN,NaN,#VALUE!
1821,2,NaN,NaN,#VALUE!
1821,3,NaN,NaN,#VALUE!
1821,4,NaN,NaN,#VALUE!
1821,5,NaN,NaN,#VALUE!
1821,6,NaN,NaN,#VALUE!
1821,7,NaN,NaN,#VALUE!
1821,8,NaN,NaN,#VALUE!
1821,9,NaN,NaN,#VALUE!
1821,10,NaN,NaN,#VALUE!
1821,11,NaN,NaN,#VALUE!
1821,12,NaN,NaN,#VALUE!
1822,1,NaN,NaN,#VALUE!
1822,2,NaN,NaN,#VALUE!
1822,3,NaN,NaN,#VALUE!
1822,4,NaN,NaN,#VALUE!
1822,5,NaN,NaN,#VALUE!
1822,6,NaN,NaN,#VALUE!
1822,7,NaN,NaN,#VALUE!
1822,8,NaN,NaN,#VALUE!
1822,9,NaN,NaN,#VALUE!
1822,10,NaN,NaN,#VALUE!
1822,11,NaN,NaN,#VALUE!
1822,12,NaN,NaN,#VALUE!
1823,1,-1.135,3.922,-4.635
1823,2,-2.675,1.897,-5.605
1823,3,-0.15,2.461,-2.54
1823,4,0.74,3.227,0.26
1823,5,-0.511,2.034,2.389
1823,6,0.02,2.207,6
1823,7,0.755,1.548,8.495
1823,8,0.11,1.902,7.45
1823,9,-0.619,2.495,4.331
1823,10,-1.589,2.810,0.241
1823,11,-0.049,3.642,-1.139
1823,12,-1.714,2.825,-4.734
1824,1,0.536,2.632,-2.964
1824,2,-0.04,2.960,-2.97
1824,3,-0.672,1.220,-3.062
1824,4,2,1.427,1.52
1824,5,1.556,1.993,4.456
1824,6,2.833,4.053,8.813
1824,7,1.393,2.782,9.133
1824,8,0.57,2.105,7.91
1824,9,-1.435,1.738,3.515
1824,10,-2.897,2.164,-1.067
1824,11,-3.631,3.425,-4.721
1824,12,-2.064,4.683,-5.084
1825,1,-0.317,3.804,-3.817
1825,2,-1.131,1.524,-4.061
1825,3,0.992,4.158,-1.398
1825,4,-0.72,3.042,-1.2
1825,5,0.337,1.605,3.237
1825,6,0.233,1.910,6.213
1825,7,0.595,3.062,8.335
1825,8,-0.195,2.036,7.145
1825,9,0.782,5.102,5.732
1825,10,0.28,2.302,2.11
1825,11,-1.705,3.244,-2.795
1825,12,-1.777,1.404,-4.797
1826,1,-0.471,1.533,-3.971
1826,2,1.87,3.936,-1.06
1826,3,1.029,4.216,-1.361
1826,4,-0.637,2.628,-1.117
1826,5,0.668,1.044,3.568
1826,6,0.092,3.534,6.072
1826,7,0.215,2.385,7.955
1826,8,-0.526,1.619,6.814
1826,9,-0.038,2.130,4.912
1826,10,-0.056,1.712,1.774
1826,11,-0.086,1.077,-1.176
1826,12,0.965,2.135,-2.055
1827,1,-1.63,3.795,-5.13
1827,2,-0.769,1.894,-3.699
1827,3,-2.339,4.834,-4.729
1827,4,-0.681,2.633,-1.161
1827,5,0.852,2.775,3.752
1827,6,0.745,2.981,6.725
1827,7,-0.715,2.363,7.025
1827,8,0.202,3.083,7.542
1827,9,-0.172,1.791,4.778
1827,10,-0.01,1.974,1.82
1827,11,0.352,2.595,-0.738
1827,12,0.492,2.686,-2.528
1828,1,0.629,4.379,-2.871
1828,2,-0.116,4.393,-3.046
1828,3,0.575,2.250,-1.815
1828,4,0.635,3.651,0.155
1828,5,1.638,4.236,4.538
1828,6,0.807,1.917,6.787
1828,7,1.487,2.132,9.227
1828,8,0.972,2.452,8.312
1828,9,0.12,2.793,5.07
1828,10,1.127,1.909,2.957
1828,11,0.079,1.386,-1.011
1828,12,1.014,2.304,-2.006
1829,1,-0.229,2.338,-3.729
1829,2,0.486,4.039,-2.444
1829,3,1.792,4.107,-0.598
1829,4,-0.112,2.092,-0.592
1829,5,0.35,2.345,3.25
1829,6,0.419,2.161,6.399
1829,7,1.207,2.160,8.947
1829,8,0.356,3.251,7.696
1829,9,-0.681,2.686,4.269
1829,10,-2.061,2.248,-0.231
1829,11,-1.351,3.523,-2.441
1829,12,0.447,2.313,-2.573
1830,1,1.765,3.213,-1.735
1830,2,-1.527,3.882,-4.457
1830,3,-1.149,1.626,-3.539
1830,4,-0.685,1.602,-1.165
1830,5,1.583,3.065,4.483
1830,6,1.447,2.698,7.427
1830,7,0.747,2.517,8.487
1830,8,-0.334,3.499,7.006
1830,9,0.51,1.842,5.46
1830,10,-0.133,1.846,1.697
1830,11,-1.594,2.843,-2.684
1830,12,-2.775,2.842,-5.795
1831,1,-0.179,2.328,-3.679
1831,2,-1.661,5.065,-4.591
1831,3,0.768,3.825,-1.622
1831,4,0.308,1.268,-0.172
1831,5,0.259,3.018,3.159
1831,6,NaN,NaN,#VALUE!
1831,7,1.027,1.848,8.767
1831,8,-0.047,2.438,7.293
1831,9,-0.435,2.245,4.515
1831,10,-0.611,2.625,1.219
1831,11,-2.511,1.814,-3.601
1831,12,1.463,3.763,-1.557
1832,1,0.747,3.557,-2.753
1832,2,-1.382,2.262,-4.312
1832,3,-1.174,2.407,-3.564
1832,4,0.074,1.619,-0.406
1832,5,-0.744,2.357,2.156
1832,6,0.525,3.511,6.505
1832,7,-0.91,3.089,6.83
1832,8,-1.548,3.242,5.792
1832,9,-1.809,1.872,3.141
1832,10,-1.21,1.360,0.62
1832,11,-0.292,1.594,-1.382
1832,12,-0.795,3.632,-3.815
1833,1,0.818,5.452,-2.682
1833,2,-1.189,1.824,-4.119
1833,3,0.112,3.315,-2.278
1833,4,-0.741,1.299,-1.221
1833,5,1.049,1.312,3.949
1833,6,0.403,1.930,6.383
1833,7,-0.193,3.311,7.547
1833,8,-1.254,1.415,6.086
1833,9,-0.328,1.946,4.622
1833,10,-1.399,1.792,0.431
1833,11,-1.126,2.874,-2.216
1833,12,-2.121,3.292,-5.141
1834,1,-0.357,3.217,-3.857
1834,2,-1.039,2.204,-3.969
1834,3,0.286,1.334,-2.104
1834,4,-0.641,2.171,-1.121
1834,5,0.082,1.002,2.982
1834,6,-0.098,1.967,5.882
1834,7,0.772,2.464,8.512
1834,8,-0.525,1.542,6.815
1834,9,-0.634,2.149,4.316
1834,10,-1.672,1.751,0.158
1834,11,-0.687,1.946,-1.777
1834,12,1.648,3.650,-1.372
1835,1,-2.631,2.240,-6.131
1835,2,-2.622,3.275,-5.552
1835,3,-1.742,2.276,-4.132
1835,4,-1.877,1.926,-2.357
1835,5,-0.697,1.553,2.203
1835,6,0.09,2.362,6.07
1835,7,0.097,2.346,7.837
1835,8,0.397,2.867,7.737
1835,9,-0.402,1.933,4.548
1835,10,-2.361,1.867,-0.531
