Year,Month,Temperature Anamoly,UC,Temperature
1823,4,NaN,NaN,#VALUE!
1823,5,NaN,NaN,#VALUE!
1823,6,NaN,NaN,#VALUE!
1823,7,NaN,NaN,#VALUE!
1823,8,NaN,NaN,#VALUE!
1823,9,NaN,NaN,#VALUE!
1823,10,-2.688,2.620,-4.708
1823,11,-1.825,3.066,-13.335
1823,12,-1.775,2.644,-21.475
1824,1,1.292,2.707,-22.208
1824,2,-2.498,3.479,-23.418
1824,3,-0.326,2.468,-16.066
1824,4,0.391,2.367,-6.209
1824,5,0.098,2.234,2.478
1824,6,1.528,2.629,10.778
1824,7,1.187,2.433,14.057
1824,8,NaN,NaN,#VALUE!
1824,9,NaN,NaN,#VALUE!
1824,10,NaN,NaN,#VALUE!
1824,11,NaN,NaN,#VALUE!
1824,12,NaN,NaN,#VALUE!
1825,1,NaN,NaN,#VALUE!
1825,2,NaN,NaN,#VALUE!
1825,3,NaN,NaN,#VALUE!
1825,4,NaN,NaN,#VALUE!
1825,5,NaN,NaN,#VALUE!
1825,6,NaN,NaN,#VALUE!
1825,7,NaN,NaN,#VALUE!
1825,8,NaN,NaN,#VALUE!
1825,9,NaN,NaN,#VALUE!
1825,10,-2.905,2.810,-4.925
1825,11,-2.217,3.275,-13.727
1825,12,-0.507,2.539,-20.207
1826,1,0.078,2.705,-23.422
1826,2,NaN,NaN,#VALUE!
1826,3,-0.348,2.498,-16.088
1826,4,NaN,NaN,#VALUE!
1826,5,NaN,NaN,#VALUE!
1826,6,NaN,NaN,#VALUE!
1826,7,NaN,NaN,#VALUE!
1826,8,NaN,NaN,#VALUE!
1826,9,NaN,NaN,#VALUE!
1826,10,-2.054,2.542,-4.074
1826,11,1.034,2.659,-10.476
1826,12,2.105,2.827,-17.595
1827,1,3.082,3.306,-20.418
1827,2,NaN,NaN,#VALUE!
1827,3,-0.313,2.748,-16.053
1827,4,1.820,2.896,-4.78
1827,5,1.626,2.626,4.006
1827,6,NaN,NaN,#VALUE!
1827,7,NaN,NaN,#VALUE!
1827,8,NaN,NaN,#VALUE!
1827,9,NaN,NaN,#VALUE!
1827,10,NaN,NaN,#VALUE!
1827,11,NaN,NaN,#VALUE!
1827,12,NaN,NaN,#VALUE!
1828,1,-1.120,2.290,-24.62
1828,2,-0.456,2.383,-21.376
1828,3,1.444,2.117,-14.296
1828,4,1.266,2.233,-5.334
1828,5,0.572,2.367,2.952
1828,6,NaN,NaN,#VALUE!
1828,7,NaN,NaN,#VALUE!
1828,8,NaN,NaN,#VALUE!
1828,9,NaN,NaN,#VALUE!
1828,10,-1.179,2.205,-3.199
1828,11,-0.548,2.208,-12.058
1828,12,-1.263,2.916,-20.963
1829,1,-0.213,2.454,-23.713
1829,2,-1.620,2.456,-22.54
1829,3,0.661,2.150,-15.079
1829,4,-0.303,2.325,-6.903
1829,5,NaN,NaN,#VALUE!
1829,6,-0.023,1.929,9.227
1829,7,-0.462,2.047,12.408
1829,8,-0.415,1.861,10.955
1829,9,NaN,NaN,#VALUE!
1829,10,-1.106,1.895,-3.126
1829,11,-2.182,1.908,-13.692
1829,12,-0.797,2.192,-20.497
1830,1,0.451,3.441,-23.049
1830,2,1.643,3.145,-19.277
1830,3,-0.096,2.399,-15.836
1830,4,1.770,2.444,-4.83
1830,5,NaN,NaN,#VALUE!
1830,6,NaN,NaN,#VALUE!
