Year,Month ,TA,UC,T
1762,10,-5.263,6.509,-4.613
1762,11,-0.289,2.319,-4.539
1762,12,0.644,2.668,-6.726
1763,1,-0.124,7.303,-9.364
1763,2,-0.602,7.652,-9.762
1763,3,-2.208,3.713,-8.688
1763,4,-1.818,4.537,-4.388
1763,5,-1.167,5.522,2.293
1763,6,0.154,6.383,8.584
1763,7,1.685,2.420,12.265
1763,8,-0.476,4.791,9.234
1763,9,-0.266,5.495,5.324
1763,10,-1.066,2.128,-0.416
1763,11,-0.240,4.229,-4.49
1763,12,-2.319,3.645,-9.689
1764,1,0.211,3.067,-9.029
1764,2,2.934,3.359,-6.226
1764,3,0.919,3.243,-5.561
1764,4,-0.151,7.243,-2.721
1764,5,-1.087,2.299,2.373
1764,6,-3.224,5.630,5.206
1764,7,0.957,4.930,11.537
1764,8,-1.335,2.152,8.375
1764,9,-1.521,5.171,4.069
1764,10,-0.728,3.226,-0.078
1764,11,-1.217,3.936,-5.467
1764,12,-1.835,3.823,-9.205
1765,1,-1.158,9.984,-10.398
1765,2,-2.057,4.391,-11.217
1765,3,0.906,3.038,-5.574
1765,4,0.470,2.289,-2.1
1765,5,-1.834,2.349,1.626
1765,6,-2.736,4.598,5.694
1765,7,-1.688,4.947,8.892
1765,8,-1.918,3.225,7.792
1765,9,-1.543,1.956,4.047
1765,10,-1.544,2.116,-0.894
1765,11,0.205,3.500,-4.045
1765,12,-0.718,2.752,-8.088
1766,1,0.254,8.200,-8.986
1766,2,0.569,3.365,-8.591
1766,3,0.581,2.761,-5.899
1766,4,2.538,4.193,-0.032
1766,5,-1.668,3.773,1.792
1766,6,1.910,8.090,10.34
1766,7,3.084,3.450,13.664
1766,8,-0.256,3.845,9.454
1766,9,-0.354,3.324,5.236
1766,10,-0.830,3.277,-0.18
1766,11,2.004,3.912,-2.246
1766,12,-1.269,4.401,-8.639
1767,1,-4.789,7.070,-14.029
1767,2,0.162,8.746,-8.998
1767,3,0.062,7.677,-6.418
1767,4,-1.602,6.692,-4.172
1767,5,-1.499,2.840,1.961
1767,6,-1.101,4.677,7.329
1767,7,-1.215,5.267,9.365
1767,8,1.089,2.854,10.799
1767,9,0.986,3.997,6.576
1767,10,-0.929,3.845,-0.279
1767,11,1.650,10.087,-2.6
1767,12,-1.187,5.298,-8.557
1768,1,-1.851,6.160,-11.091
1768,2,-1.814,7.024,-10.974
1768,3,-2.685,4.979,-9.165
1768,4,-2.158,2.964,-4.728
1768,5,-0.233,2.985,3.227
1768,6,0.223,2.304,8.653
1768,7,0.936,3.048,11.516
1768,8,0.064,2.623,9.774
1768,9,-1.458,3.509,4.132
1768,10,-3.530,3.096,-2.88
1768,11,-1.232,5.646,-5.482
1768,12,1.173,8.425,-6.197
1769,1,1.225,7.373,-8.015
1769,2,-0.824,5.334,-9.984
1769,3,0.371,5.651,-6.109
1769,4,0.918,5.213,-1.652
1769,5,0.320,6.155,3.78
1769,6,0.327,2.759,8.757
1769,7,0.072,2.882,10.652
1769,8,-0.504,4.175,9.206
1769,9,-0.130,1.902,5.46
1769,10,-3.475,3.283,-2.825
1769,11,-2.368,2.257,-6.618
1769,12,-2.076,4.073,-9.446
1770,1,-0.664,6.548,-9.904
1770,2,1.880,3.322,-7.28
1770,3,-7.276,3.361,-13.756
1770,4,-1.131,6.611,-3.701
1770,5,0.652,1.945,4.112
1770,6,0.201,5.385,8.631
1770,7,1.124,3.000,11.704
1770,8,0.149,5.047,9.859
1770,9,1.249,3.092,6.839
1770,10,-0.117,3.498,0.533
1770,11,-3.035,7.566,-7.285
1770,12,-2.928,5.024,-10.298
1771,1,-1.855,3.399,-11.095
1771,2,-2.050,2.748,-11.21
1771,3,-3.860,3.679,-10.34
1771,4,-2.979,4.811,-5.549
1771,5,0.687,7.822,4.147
1771,6,2.599,2.613,11.029
1771,7,-0.557,2.190,10.023
1771,8,-0.851,3.468,8.859
1771,9,-0.531,2.664,5.059
1771,10,-1.103,2.412,-0.453
1771,11,-0.455,2.869,-4.705
1771,12,1.484,4.185,-5.886
1772,1,-1.224,7.996,-10.464
1772,2,-3.888,10.257,-13.048
1772,3,-3.491,3.181,-9.971
1772,4,-0.941,3.472,-3.511
1772,5,-2.329,2.005,1.131
1772,6,-0.685,6.494,7.745
1772,7,0.164,3.890,10.744
1772,8,-0.056,4.819,9.654
1772,9,-0.886,3.563,4.704
1772,10,1.058,2.851,1.708
1772,11,2.150,6.164,-2.1
1772,12,1.534,4.472,-5.836
1773,1,0.021,2.590,-9.219
1773,2,0.138,3.712,-9.022
1773,3,0.269,2.798,-6.211
1773,4,1.463,3.061,-1.107
1773,5,0.900,2.749,4.36
1773,6,-0.706,2.589,7.724
1773,7,0.468,2.805,11.048
1773,8,0.864,2.917,10.574
1773,9,0.372,2.830,5.962
1773,10,0.375,2.851,1.025
1773,11,-0.273,7.160,-4.523
1773,12,0.210,5.120,-7.16
1774,1,-4.755,7.218,-13.995
1774,2,0.710,7.251,-8.45
1774,3,-0.519,3.050,-6.999
1774,4,0.661,5.733,-1.909
1774,5,1.330,2.951,4.79
1774,6,1.204,9.541,9.634
1774,7,1.046,8.952,11.626
1774,8,-0.055,3.187,9.655
1774,9,-0.762,2.734,4.828
1774,10,-0.622,6.120,0.028
1774,11,-5.038,5.282,-9.288
1774,12,-2.522,5.992,-9.892
1775,1,0.059,6.677,-9.181
