Year,Month,Temperature Anomaly,UC,Temperature 
1762,11,0.313,2.734,1.293
1762,12,-2.795,2.170,-6.475
1763,1,-2.754,6.468,-9.744
1763,2,-0.864,5.597,-6.864
1763,3,-3.199,2.332,-4.749
1763,4,-1.323,3.979,4.937
1763,5,-0.498,5.054,12.172
1763,6,-1.420,4.886,4.84
1763,7,1.973,2.697,19.783
1763,8,-0.037,4.353,16.833
1763,9,-1.657,4.932,10.443
1763,10,-3.276,2.345,3.114
1763,11,-2.299,3.746,-1.319
1763,12,-0.153,3.481,-3.833
1764,1,0.238,3.521,-6.752
1764,2,3.883,3.576,-2.117
1764,3,0.594,3.545,-0.956
1764,4,-0.674,6.061,5.586
1764,5,-0.100,2.458,12.57
1764,6,-2.123,4.822,4.137
1764,7,0.856,4.469,18.666
1764,8,-1.063,2.323,15.807
1764,9,-0.979,4.824,11.121
1764,10,-0.586,2.953,5.804
1764,11,-1.682,3.656,-0.702
1764,12,0.326,2.913,-3.354
1765,1,2.640,8.637,-4.35
1765,2,-0.354,4.225,-6.354
1765,3,2.514,2.768,0.964
1765,4,1.007,2.410,7.267
1765,5,-1.342,2.573,11.328
1765,6,-1.506,4.464,4.754
1765,7,-0.679,3.818,17.131
1765,8,0.170,3.228,17.04
1765,9,-1.099,2.252,11.001
1765,10,-0.827,2.240,5.563
1765,11,-0.074,3.235,0.906
1765,12,-1.060,2.527,-4.74
1766,1,-3.038,6.543,-10.028
1766,2,-0.141,3.256,-6.141
1766,3,1.691,2.880,0.141
1766,4,0.740,3.575,7
1766,5,0.861,3.616,13.531
1766,6,-0.261,6.063,5.999
1766,7,-0.933,3.888,16.877
1766,8,-0.735,3.545,16.135
1766,9,0.286,3.347,12.386
1766,10,-1.169,2.951,5.221
1766,11,0.934,3.932,1.914
1766,12,-1.904,4.113,-5.584
1767,1,-5.699,6.451,-12.689
1767,2,0.266,7.046,-5.734
1767,3,1.710,6.545,0.16
1767,4,-3.222,5.744,3.038
1767,5,-1.394,2.885,11.276
1767,6,-0.043,4.527,6.217
1767,7,-0.998,4.373,16.812
1767,8,0.960,2.875,17.83
1767,9,0.909,3.869,13.009
1767,10,-0.231,3.602,6.159
1767,11,2.765,8.257,3.745
1767,12,-2.418,4.110,-6.098
1768,1,-5.271,4.195,-12.261
1768,2,-3.569,5.029,-9.569
1768,3,-3.440,3.167,-4.99
1768,4,-0.850,2.600,5.41
1768,5,-2.649,2.509,10.021
1768,6,-0.893,2.584,5.367
1768,7,0.296,2.722,18.106
1768,8,-0.882,2.668,15.988
1768,9,-1.215,2.966,10.885
1768,10,-1.891,2.752,4.499
1768,11,-0.576,3.737,0.404
1768,12,1.349,5.621,-2.331
1769,1,2.985,4.082,-4.005
1769,2,0.462,4.295,-5.538
1769,3,0.817,4.843,-0.733
1769,4,-0.149,4.897,6.111
1769,5,0.151,5.650,12.821
1769,6,0.786,2.777,7.046
1769,7,-0.417,3.121,17.393
1769,8,-0.739,3.159,16.131
1769,9,-0.375,2.120,11.725
1769,10,-4.916,3.102,1.474
1769,11,-3.181,2.340,-2.201
1769,12,-3.190,2.989,-6.87
1770,1,0.174,4.353,-6.816
1770,2,0.392,2.826,-5.608
1770,3,-4.490,2.465,-6.04
1770,4,1.024,4.093,7.284
1770,5,-0.952,2.412,11.718
1770,6,-1.859,4.134,4.401
1770,7,-2.463,2.670,15.347
1770,8,-1.298,4.140,15.572
1770,9,0.346,2.790,12.446
1770,10,1.238,2.867,7.628
1770,11,-0.176,4.865,0.804
1770,12,2.497,3.759,-1.183
1771,1,1.019,2.645,-5.971
1771,2,-5.429,2.393,-11.429
1771,3,-5.040,2.538,-6.59
1771,4,-3.657,3.792,2.603
1771,5,-1.010,5.268,11.66
1771,6,0.744,2.809,7.004
