Year,Month,TA,UC,T
1819,7,NaN,NaN,#VALUE!
1819,8,NaN,NaN,#VALUE!
1819,9,NaN,NaN,#VALUE!
1819,10,NaN,NaN,#VALUE!
1819,11,NaN,NaN,#VALUE!
1819,12,NaN,NaN,#VALUE!
1820,1,NaN,NaN,#VALUE!
1820,2,NaN,NaN,#VALUE!
1820,3,NaN,NaN,#VALUE!
1820,4,NaN,NaN,#VALUE!
1820,5,NaN,NaN,#VALUE!
1820,6,NaN,NaN,#VALUE!
1820,7,NaN,NaN,#VALUE!
1820,8,NaN,NaN,#VALUE!
1820,9,NaN,NaN,#VALUE!
1820,10,NaN,NaN,#VALUE!
1820,11,NaN,NaN,#VALUE!
1820,12,NaN,NaN,#VALUE!
1821,1,NaN,NaN,#VALUE!
1821,2,NaN,NaN,#VALUE!
1821,3,NaN,NaN,#VALUE!
1821,4,NaN,NaN,#VALUE!
1821,5,NaN,NaN,#VALUE!
1821,6,NaN,NaN,#VALUE!
1821,7,NaN,NaN,#VALUE!
1821,8,NaN,NaN,#VALUE!
1821,9,NaN,NaN,#VALUE!
1821,10,NaN,NaN,#VALUE!
1821,11,NaN,NaN,#VALUE!
1821,12,NaN,NaN,#VALUE!
1822,1,NaN,NaN,#VALUE!
1822,2,NaN,NaN,#VALUE!
1822,3,NaN,NaN,#VALUE!
1822,4,NaN,NaN,#VALUE!
1822,5,NaN,NaN,#VALUE!
1822,6,NaN,NaN,#VALUE!
1822,7,NaN,NaN,#VALUE!
1822,8,NaN,NaN,#VALUE!
1822,9,NaN,NaN,#VALUE!
1822,10,NaN,NaN,#VALUE!
1822,11,NaN,NaN,#VALUE!
1822,12,NaN,NaN,#VALUE!
1823,1,NaN,NaN,#VALUE!
1823,2,NaN,NaN,#VALUE!
1823,3,NaN,NaN,#VALUE!
1823,4,NaN,NaN,#VALUE!
1823,5,NaN,NaN,#VALUE!
1823,6,NaN,NaN,#VALUE!
1823,7,NaN,NaN,#VALUE!
1823,8,NaN,NaN,#VALUE!
1823,9,NaN,NaN,#VALUE!
1823,10,0.225,3.606,-19.955
1823,11,0.299,4.007,-26.221
1823,12,-4.003,5.698,-33.533
1824,1,-0.337,2.460,-30.357
1824,2,-1.544,3.467,-31.234
1824,3,0.446,2.357,-28.324
1824,4,2.983,3.422,-19.407
1824,5,1.936,3.344,-10.104
1824,6,2.367,3.611,-2.873
1824,7,1.846,3.214,-0.524
1824,8,NaN,NaN,#VALUE!
1824,9,NaN,NaN,#VALUE!
1824,10,NaN,NaN,#VALUE!
1824,11,NaN,NaN,#VALUE!
1824,12,NaN,NaN,#VALUE!
1825,1,NaN,NaN,#VALUE!
1825,2,NaN,NaN,#VALUE!
1825,3,NaN,NaN,#VALUE!
1825,4,NaN,NaN,#VALUE!
1825,5,NaN,NaN,#VALUE!
1825,6,NaN,NaN,#VALUE!
1825,7,-0.080,2.891,-2.45
1825,8,NaN,NaN,#VALUE!
1825,9,NaN,NaN,#VALUE!
1825,10,-0.366,2.438,-20.546
1825,11,-1.841,4.168,-28.361
1825,12,-2.302,3.201,-31.832
1826,1,-1.359,2.332,-31.379
1826,2,NaN,NaN,#VALUE!
1826,3,-1.174,3.692,-29.944
1826,4,NaN,NaN,#VALUE!
1826,5,-0.174,2.104,-12.214
1826,6,-1.436,3.077,-6.676
1826,7,NaN,NaN,#VALUE!
1826,8,NaN,NaN,#VALUE!
1826,9,0.019,2.185,-11.581
1826,10,0.205,2.528,-19.975
1826,11,2.211,3.531,-24.309
1826,12,1.589,2.506,-27.941
1827,1,-1.606,3.539,-31.626
1827,2,NaN,NaN,#VALUE!
1827,3,-1.564,3.590,-30.334
1827,4,0.351,2.692,-22.039
1827,5,0.263,2.562,-11.777
1827,6,NaN,NaN,#VALUE!
1827,7,NaN,NaN,#VALUE!
1827,8,NaN,NaN,#VALUE!
1827,9,NaN,NaN,#VALUE!
1827,10,NaN,NaN,#VALUE!
1827,11,NaN,NaN,#VALUE!
1827,12,NaN,NaN,#VALUE!
1828,1,NaN,NaN,#VALUE!
1828,2,NaN,NaN,#VALUE!
1828,3,NaN,NaN,#VALUE!
1828,4,NaN,NaN,#VALUE!
1828,5,NaN,NaN,#VALUE!
1828,6,NaN,NaN,#VALUE!
1828,7,NaN,NaN,#VALUE!
1828,8,NaN,NaN,#VALUE!
1828,9,NaN,NaN,#VALUE!
1828,10,0.470,2.526,-19.71
1828,11,-0.110,2.510,-26.63
1828,12,-0.452,2.778,-29.982
1829,1,-0.278,3.199,-30.298
1829,2,-0.747,4.271,-30.437
1829,3,2.302,5.188,-26.468
1829,4,1.249,3.897,-21.141
1829,5,NaN,NaN,#VALUE!
1829,6,NaN,NaN,#VALUE!
1829,7,NaN,NaN,#VALUE!
1829,8,NaN,NaN,#VALUE!
1829,9,NaN,NaN,#VALUE!
1829,10,-0.317,2.747,-20.497
1829,11,1.719,5.662,-24.801
1829,12,2.058,5.332,-27.472
1830,1,5.094,6.817,-24.926
1830,2,0.454,3.182,-29.236
1830,3,-1.743,2.223,-30.513
1830,4,0.525,1.958,-21.865
1830,5,NaN,NaN,#VALUE!
1830,6,NaN,NaN,#VALUE!
1830,7,NaN,NaN,#VALUE!
1830,8,NaN,NaN,#VALUE!
1830,9,0.587,2.900,-11.013
1830,10,-0.448,2.074,-20.628
1830,11,-0.214,3.431,-26.734
1830,12,0.606,2.229,-28.924
1831,1,2.034,3.866,-27.986
1831,2,-0.261,5.217,-29.951
1831,3,0.256,2.960,-28.514
1831,4,1.608,3.056,-20.782
1831,5,0.776,3.727,-11.264
1831,6,NaN,NaN,#VALUE!
1831,7,NaN,NaN,#VALUE!
1831,8,NaN,NaN,#VALUE!
1831,9,NaN,NaN,#VALUE!
1831,10,-2.311,3.123,-22.491
1831,11,-0.944,2.252,-27.464
1831,12,2.475,6.458,-27.055
1832,1,-0.628,3.049,-30.648
1832,2,-4.489,3.004,-34.179
1832,3,NaN,NaN,#VALUE!
1832,4,-0.621,2.332,-23.011
1832,5,NaN,NaN,#VALUE!
1832,6,NaN,NaN,#VALUE!
1832,7,NaN,NaN,#VALUE!
1832,8,NaN,NaN,#VALUE!
1832,9,NaN,NaN,#VALUE!
1832,10,-1.832,3.100,-22.012
1832,11,-2.061,3.049,-28.581
1832,12,-5.022,6.171,-34.552
1833,1,-1.229,4.743,-31.249
1833,2,-2.398,2.202,-32.088
1833,3,1.488,4.069,-27.282
1833,4,0.350,2.542,-22.04
1833,5,NaN,NaN,#VALUE!
1833,6,NaN,NaN,#VALUE!
1833,7,NaN,NaN,#VALUE!
1833,8,-0.300,2.694,-4.62
1833,9,-0.213,2.466,-11.813
1833,10,-1.790,2.451,-21.97
1833,11,-1.275,3.820,-27.795
1833,12,-3.980,6.509,-33.51
1834,1,-1.393,3.137,-31.413
1834,2,-3.730,3.560,-33.42
1834,3,0.039,2.221,-28.731
1834,4,0.189,2.580,-22.201
1834,5,-1.107,2.246,-13.147
1834,6,NaN,NaN,#VALUE!
1834,7,0.556,2.707,-1.814
1834,8,NaN,NaN,#VALUE!
1834,9,NaN,NaN,#VALUE!
1834,10,-0.770,2.043,-20.95
1834,11,1.064,2.726,-25.456
1834,12,-0.441,2.986,-29.971
1835,1,-4.924,7.076,-34.944
1835,2,-4.440,4.140,-34.13
1835,3,-2.968,2.737,-31.738
1835,4,-1.045,2.260,-23.435
1835,5,-0.682,2.563,-12.722
1835,6,-1.030,2.353,-6.27
1835,7,NaN,NaN,#VALUE!
1835,8,NaN,NaN,#VALUE!
1835,9,NaN,NaN,#VALUE!
1835,10,-1.902,2.226,-22.082
1835,11,2.717,6.436,-23.803
1835,12,2.448,6.245,-27.082
1836,1,-0.760,3.215,-30.78
1836,2,-2.997,2.461,-32.687
1836,3,-1.912,2.679,-30.682
1836,4,-3.582,4.042,-25.972
1836,5,-0.937,2.476,-12.977
1836,6,-1.291,2.942,-6.531
1836,7,-0.692,2.260,-3.062
1836,8,NaN,NaN,#VALUE!
1836,9,-0.798,2.744,-12.398
1836,10,-2.546,3.491,-22.726
1836,11,-3.859,3.054,-30.379
1836,12,-1.353,2.365,-30.883
1837,1,-2.224,3.942,-32.244
1837,2,-5.691,7.482,-35.381
1837,3,0.348,4.505,-28.422
1837,4,-2.035,2.280,-24.425
1837,5,-0.544,3.614,-12.584
1837,6,NaN,NaN,#VALUE!
1837,7,NaN,NaN,#VALUE!
1837,8,-0.832,2.188,-5.152
1837,9,-0.314,2.367,-11.914
1837,10,-2.017,2.572,-22.197
1837,11,-4.673,5.868,-31.193
1837,12,-2.161,4.624,-31.691
1838,1,-3.439,2.865,-33.459
1838,2,0.034,3.993,-29.656
1838,3,-3.275,3.979,-32.045
1838,4,-1.150,2.710,-23.54
1838,5,0.185,3.037,-11.855
1838,6,NaN,NaN,#VALUE!
1838,7,NaN,NaN,#VALUE!
1838,8,NaN,NaN,#VALUE!
1838,9,NaN,NaN,#VALUE!
1838,10,-1.505,2.460,-21.685
1838,11,0.203,4.525,-26.317
1838,12,0.554,2.536,-28.976
1839,1,-2.265,2.716,-32.285
1839,2,-4.722,5.896,-34.412
1839,3,-2.010,2.380,-30.78
1839,4,-1.074,3.680,-23.464
1839,5,NaN,NaN,#VALUE!
1839,6,NaN,NaN,#VALUE!
1839,7,NaN,NaN,#VALUE!
1839,8,NaN,NaN,#VALUE!
1839,9,NaN,NaN,#VALUE!
1839,10,-1.078,2.754,-21.258
1839,11,-1.201,2.282,-27.721
1839,12,0.077,4.604,-29.453
1840,1,-0.362,2.666,-30.382
1840,2,-1.648,2.886,-31.338
1840,3,5.043,8.771,-23.727
1840,4,-0.845,2.491,-23.235
1840,5,0.179,2.467,-11.861
1840,6,0.105,2.479,-5.135
1840,7,0.381,2.200,-1.989
1840,8,-0.987,2.603,-5.307
1840,9,-0.835,2.210,-12.435
1840,10,-0.532,2.218,-20.712
1840,11,-1.343,2.584,-27.863
1840,12,1.047,3.056,-28.483
1841,1,-0.174,5.068,-30.194
1841,2,2.522,5.553,-27.168
1841,3,-0.263,2.196,-29.033
1841,4,-0.211,2.979,-22.601
1841,5,-0.791,2.349,-12.831
1841,6,-0.738,2.901,-5.978
1841,7,-0.125,2.169,-2.495
1841,8,-0.971,2.350,-5.291
1841,9,-0.388,2.228,-11.988
1841,10,-0.765,2.261,-20.945
1841,11,-2.441,2.143,-28.961
1841,12,-1.485,2.483,-31.015
1842,1,0.492,3.467,-29.528
1842,2,-2.874,3.295,-32.564
1842,3,-0.851,2.633,-29.621
1842,4,-0.089,3.507,-22.479
1842,5,0.319,2.199,-11.721
1842,6,-0.377,2.487,-5.617
1842,7,0.518,2.164,-1.852
1842,8,-1.104,2.453,-5.424
1842,9,-0.525,2.128,-12.125
1842,10,0.825,3.176,-19.355
1842,11,-1.690,2.313,-28.21
1842,12,0.388,2.185,-29.142
1843,1,-0.731,2.451,-30.751
1843,2,1.481,5.806,-28.209
1843,3,2.203,5.450,-26.567
1843,4,0.394,2.452,-21.996
1843,5,-0.195,2.489,-12.235
1843,6,0.499,2.442,-4.741
1843,7,0.120,2.086,-2.25
1843,8,-0.699,2.176,-5.019
1843,9,-0.306,2.116,-11.906
1843,10,0.343,3.685,-19.837
1843,11,-2.254,2.875,-28.774
1843,12,-1.108,3.644,-30.638
1844,1,-2.727,3.944,-32.747
1844,2,-3.027,2.475,-32.717
1844,3,-1.408,2.790,-30.178
1844,4,-4.245,6.499,-26.635
1844,5,-2.661,3.793,-14.701
1844,6,0.640,2.334,-4.6
