Year,Month,Temperature Anomaly,UC,Temperature
1762,10,-5.671,6.857,-2.661
1762,11,0.068,2.119,-2.682
1762,12,0.328,2.200,-6.312
1763,1,-0.712,7.601,-9.602
1763,2,-0.109,7.758,-8.679
1763,3,-2.338,3.415,-6.618
1763,4,-1.8,4.719,-1.1
1763,5,-0.497,5.975,6.283
1763,6,0.01,6.616,12.33
1763,7,1.833,2.422,16.023
1763,8,-0.149,5.131,12.841
1763,9,-0.737,5.764,7.693
1763,10,-1.307,1.824,1.703
1763,11,-0.377,4.094,-3.127
1763,12,-1.867,3.675,-8.507
1764,1,0.436,3.011,-8.454
1764,2,3.753,3.493,-4.817
1764,3,1.102,3.305,-3.178
1764,4,-0.005,7.624,0.695
1764,5,-0.409,2.247,6.371
1764,6,-3.151,6.046,9.169
1764,7,1.832,5.412,16.022
1764,8,-1.062,1.935,11.928
1764,9,-1.5,5.283,6.93
1764,10,-1.143,3.098,1.867
1764,11,-1.395,3.867,-4.145
1764,12,-2.144,3.727,-8.784
1765,1,-1.09,10.287,-9.98
1765,2,-1.603,4.711,-10.173
1765,3,1.079,2.844,-3.201
1765,4,0.568,2.031,1.268
1765,5,-1.65,2.212,5.13
1765,6,-2.292,5.149,10.028
1765,7,-1.474,4.893,12.716
1765,8,-1.388,3.448,11.602
1765,9,-1.669,1.648,6.761
1765,10,-1.439,1.794,1.571
1765,11,0.559,3.607,-2.191
1765,12,-0.933,2.505,-7.573
1766,1,-0.187,8.361,-9.077
1766,2,0.349,3.320,-8.221
1766,3,0.87,2.689,-3.41
1766,4,2.832,4.290,3.532
1766,5,-0.88,4.048,5.9
1766,6,1.828,8.477,14.148
1766,7,3.15,3.537,17.34
1766,8,-0.148,3.964,12.842
1766,9,-0.264,3.423,8.166
1766,10,-0.907,3.206,2.103
1766,11,2.055,3.976,-0.695
1766,12,-1.731,4.548,-8.371
1767,1,-5.75,7.432,-14.64
1767,2,0.095,9.423,-8.475
1767,3,0.042,8.095,-4.238
1767,4,-1.915,6.985,-1.215
1767,5,-1.16,2.816,5.62
1767,6,-1.315,5.029,11.005
1767,7,-1.024,5.607,13.166
1767,8,1.37,2.931,14.36
1767,9,1.324,4.143,9.754
1767,10,-0.955,3.892,2.055
1767,11,1.892,10.636,-0.858
1767,12,-1.337,5.383,-7.977
1768,1,-2.064,6.307,-10.954
1768,2,-1.418,7.307,-9.988
1768,3,-3.029,4.800,-7.309
1768,4,-1.889,2.848,-1.189
1768,5,-0.148,2.859,6.632
1768,6,0.048,2.167,12.368
1768,7,1.031,2.846,15.221
1768,8,0.227,2.617,13.217
1768,9,-1.6,3.467,6.83
1768,10,-3.466,2.857,-0.456
1768,11,-0.86,5.623,-3.61
1768,12,1.74,8.492,-4.9
1769,1,1.573,7.284,-7.317
1769,2,-0.041,5.522,-8.611
1769,3,0.592,5.806,-3.688
1769,4,0.651,5.390,1.351
1769,5,0.208,6.576,6.988
1769,6,0.117,2.595,12.437
1769,7,0.048,2.834,14.238
1769,8,-0.564,4.155,12.426
1769,9,-0.265,1.556,8.165
1769,10,-3.841,3.208,-0.831
1769,11,-2.362,1.921,-5.112
1769,12,-1.847,3.880,-8.487
1770,1,-0.913,6.462,-9.803
1770,2,2.132,3.260,-6.438
1770,3,-7.451,3.143,-11.731
1770,4,-1.16,6.708,-0.46
1770,5,0.881,1.756,7.661
1770,6,0.065,5.643,12.385
1770,7,1.184,2.850,15.374
1770,8,0.668,5.326,13.658
1770,9,1.448,3.034,9.878
